Title	Date	Status	Group	Meeting Link
Community Experience Weekly Sync (23/10/24)	Oct 23, 2024	Ended	Reimagining Power,All In For Sport	https://discord.com/events/874697948838101092/1291266725719052331
Playbook discovery retro/planning session - RPP (31/10/24)	Oct 1, 2024	Scheduled	Reimagining Power	
RPP OS Stewards Weekly Meeting 13 (29/10/24)		Scheduled	Reimagining Power	
RPP OS Stewards Weekly Meeting 13 (29/10/24)	Oct 30, 2024	Ended	Reimagining Power	
RPP Weekly Core Team Meeting (31/10/24)	Nov 1, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS Stewards Weekly Meeting 14 (5/11/24)	Nov 5, 2024	Ended	Reimagining Power	
CX Weekly Sync (30/10/24)	Oct 30, 2024	Ended	Reimagining Power,All In For Sport	https://discord.com/events/874697948838101092/1291266725719052331
12th Stakeholder Meeting for Reimagining Power (November 2024)	Nov 4, 2024	Ended	Reimagining Power	
	Jul 11, 2024	Scheduled	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP Weekly Core Team Meeting (7/11/24)	Nov 7, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Playbooks Initial Planning Meeting	Nov 7, 2024	Ended	Reimagining Power	
RPP OS Stewards Weekly Meeting 15 (12/11/24)	Nov 13, 2024	Ended	Reimagining Power	
RPP Weekly Core Team Meeting (14/11/24)	Nov 14, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS stewards weekly meeting 16 (19/11/24)	Nov 20, 2024	Ended	Reimagining Power	
RPP Weekly Core Team Meeting (21/11/24)	Nov 21, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Gatherings Sync (20/11/24)	Nov 20, 2024	Ended	Reimagining Power,All In For Sport	https://discord.com/events/874697948838101092/1291266725719052331
RPP Weekly Core Team Meeting (28/11/24)	Nov 28, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS Stewards Weekly Meeting 17 (26/11/24)	Nov 26, 2024	Ended	Reimagining Power	
Gatherings Working Session	Nov 25, 2024	Ended	Reimagining Power,All In For Sport	https://discord.com/events/874697948838101092/1291266725719052331
13th RPP Stakeholder Meeting (2/12/24)	Dec 2, 2024	Ended	Reimagining Power	
RPP OS Stewards Meeting 18 3/12/24	Dec 4, 2024	Ended	Reimagining Power	
RPP Weekly Core Team Meeting (5/12/24)	Dec 5, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS Stewards Weekly Meeting 19 10/12/24	Dec 10, 2024	Ended	Reimagining Power	
RPP Weekly Core Team Meeting (12/12/24)	Dec 12, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS Stewards Weekly Meeting 20 (17/12/24)	Dec 17, 2024	Ended	Reimagining Power	
RPP Weekly Core Team Meeting (19/12/24)	Dec 19, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS Stewards meeting 20a 31/12/24	Dec 31, 2024	Ended	Reimagining Power	
OS stewards meeting 21 7/1/25	Jan 7	Ended	Reimagining Power	
RPP Weekly Core Team Meeting (9/1/25)	Jan 9	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
14th RPP Stakeholder Meeting (13/1/25)	Jan 13	Ended	Reimagining Power	
RPP OS stewards meeting 22 - 14/1/25 	Jan 14	Ended	Reimagining Power	
RPP weekly core team meeting 16/1/24	Jan 17	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS stewards meeting 23 - 21/1/25 	Jan 21	Ended	Reimagining Power	
Meeting with Newton	Jan 21	Ended	Reimagining Power	
RPP weekly core team meeting 23/1/25	Jan 24	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS stewards meeting 24 - 28/1/25	Jan 28	Ended	Reimagining Power	
RPP Weekly Core Team Meeting 30/1/25	Jan 31	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
15th RPP Stakeholder Meeting (3/2/25)	Feb 3	Ended	Reimagining Power	
RPP weekly core team meeting 6/2/25	Feb 7	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS stewards meeting 25 - 4/2/25	Feb 4	Ended	Reimagining Power	
RPP OS stewards meeting 26 - 11/2/25	Feb 11	Ended	Reimagining Power	
RPP weekly core team meeting 13/2/25	Feb 13	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Future of AIFS Gatherings	Feb 17	Ended	Reimagining Power,SuperBenefit,All In For Sport	
RPP OS stewards weekly meeting 27 - 18/2/25	Feb 19	Ended	Reimagining Power	
RPP Weekly Core Team Meeting 27-2-25	Feb 28	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS stewards meeting 28 25/2/25		Scheduled	Reimagining Power	
RPP OS stewards meeting 28 - 25/2/25	Feb 26	Ended	Reimagining Power	
16th RPP Stakeholder Meeting (3/3/25) 	Mar 3	Ended	Reimagining Power	
RPP OS Stewards Meeting 29 4/3/25	Mar 5	Ended	Reimagining Power	
RPP weekly core team meeting 6/3/25	Mar 6	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS Stewards Meeting 30 11/3/25	Mar 11	Ended	Reimagining Power	
RPP Core team meeting 13/3/25	Mar 14	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS Stewards Meeting 31 18/3/25	Mar 18	Ended	Reimagining Power	
RPP weekly core team meeting 20/3/25	Mar 20	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Meeting with Women Win	Mar 21	Ended	Reimagining Power	
Meeting with Women Win & Equality Fund	Mar 21	Ended	Reimagining Power	
Greenpill London Genesis Meeting 23/3/25	Mar 23	Ended	Reimagining Power,Institute for Community Sustainability,Greenpill London	
RPP OS Stewards Meeting 32 25/3/25	Mar 25	Ended	Reimagining Power	
17th RPP Stakeholder Meeting (7/4/25)  	Apr 7	Ended	Reimagining Power	
RPP Core team meeting 27/3/25	Mar 27	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Greenpill London Weekly Meeting 30/3/25	Mar 30	Ended	Reimagining Power,Institute for Community Sustainability,Greenpill London	
OS Stewards meeting 33 1/4/25	Apr 2	Ended	Reimagining Power	
RPP Core team meeting 3/4/25	Apr 3	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS Stewards meeting 34 8/4/25	Apr 9	Ended	Reimagining Power	
Greenpill London Weekly Meeting 10/4/25	Apr 10	Ended	Reimagining Power,Institute for Community Sustainability,Greenpill London	
RPP weekly core team meeting 10/4/25	Apr 11	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS Stewards meeting 35 15/4/25	Apr 16	Ended	Reimagining Power	
RPP Core Team Meeting 17/4/25	Apr 18	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS Stewards meeting 36 22/4/25	Apr 23	Ended	Reimagining Power	
RPP Core team meeting 24/4/25	Jul 11, 2024	Scheduled	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
18th RPP Stakeholder Meeting (5/5/25)	Apr 24	Ended	Reimagining Power	
OS stewards meeting 37		Scheduled	Reimagining Power	
OS stewards meeting 37 29/4/25	Apr 30	Ended	Reimagining Power	
RPP Weekly Core Team Meeting 1/5/25	May 2	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS stewards meeting 38 6/5/25	May 7	Ended	Reimagining Power	
Women Win Experiment Discussion	May 6	Ended	Reimagining Power	
RPP Weekly Core Team Meeting 8/5/25	May 8	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS stewards meeting 39 13/5/25	May 14	Ended	Reimagining Power	
RPP weekly core team meeting 15/5/25	May 16	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS Stewards Meeting 40 20/5/25	May 21	Ended	Reimagining Power	
RPP weekly core team meeting 22/5/25	May 23	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS Stewards 41 (27/5/25)	May 27	Ended	Reimagining Power	
RPP weekly core team meeting 29/5/25	May 29	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS Stewards Meeting 42 - 3/6/25	Jun 3	Scheduled	Reimagining Power	
RPP Weekly Core Team Meeting 5/6/25	Jun 5	Scheduled	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS Stewards Meeting 43 (10/6/25)	Jun 10	Scheduled	Reimagining Power	
RPP Weekly Core Team Meet (12/6/25)	Jun 12	Scheduled	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS Stewards Meeting 44 (17/6/25)	Jun 17	Scheduled	Reimagining Power	
RPP Weekly Core Team Meeting (19/6/25)	Jun 19	Scheduled	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
OS Stewards Meeting 45 (24/6/25)	Jun 24	Scheduled	Reimagining Power	
